img01.ppm;983;388;1024;432;40
img01.ppm;386;494;442;552;38
img01.ppm;973;335;1031;390;13
img02.ppm;892;476;1006;592;39
img03.ppm;742;443;765;466;4
img03.ppm;742;466;764;489;9
img03.ppm;737;412;769;443;21
img04.ppm;898;342;967;409;21
img04.ppm;906;407;955;459;2
img05.ppm;1172;164;1284;278;9
img06.ppm;720;338;770;398;1
img06.ppm;710;265;780;342;21
img07.ppm;998;292;1074;371;1
img07.ppm;46;350;136;444;23
img07.ppm;945;435;1006;492;23
img08.ppm;112;463;143;492;13
img09.ppm;1091;393;1133;436;15
img10.ppm;394;511;420;537;38
img11.ppm;938;167;1022;251;12
img11.ppm;953;252;1015;313;35
img12.ppm;1040;310;1130;400;33
img12.ppm;1017;202;1141;313;13
img13.ppm;718;440;739;462;13
img13.ppm;420;419;447;446;12
img13.ppm;423;449;444;470;35
img14.ppm;933;314;990;365;13
img14.ppm;945;374;984;415;34
img15.ppm;790;273;850;334;1
img16.ppm;492;414;516;437;17
img16.ppm;314;440;334;461;1
img16.ppm;662;262;738;339;12
img17.ppm;840;287;915;364;14
img17.ppm;849;364;901;416;34
img17.ppm;648;410;670;433;17
img17.ppm;257;403;281;428;17
img18.ppm;932;188;1024;278;28
img18.ppm;923;276;977;341;1
img18.ppm;977;263;1042;333;9
img19.ppm;975;395;1011;430;0
img20.ppm;922;389;951;419;40
img20.ppm;915;354;955;390;13
img21.ppm;680;430;710;458;25
img21.ppm;779;420;801;443;2
img22.ppm;457;474;488;505;17
img22.ppm;795;454;827;487;17
img22.ppm;892;417;934;457;22
img22.ppm;829;453;862;486;38
img23.ppm;122;267;225;379;5
img23.ppm;1226;411;1249;433;22
img23.ppm;677;434;699;453;22
img24.ppm;693;413;719;437;20
img24.ppm;696;436;719;458;3
img24.ppm;994;395;1022;420;20
img24.ppm;995;421;1020;445;3
img25.ppm;627;442;660;476;1
img25.ppm;969;414;1021;463;12
img26.ppm;455;537;488;566;22
img26.ppm;460;563;482;585;8
img27.ppm;167;194;257;286;5
img28.ppm;874;426;904;456;10
img28.ppm;359;420;389;450;10
img29.ppm;912;525;939;553;12
img29.ppm;917;553;938;574;4
img30.ppm;728;593;767;632;38
img31.ppm;879;514;903;538;1
img31.ppm;1048;430;1094;476;12
img32.ppm;365;468;466;558;25
img32.ppm;1165;572;1227;636;3
img32.ppm;1142;487;1237;575;25
img32.ppm;380;557;444;621;3
img33.ppm;510;435;542;467;34
img33.ppm;1003;469;1035;501;34
img33.ppm;504;397;548;435;13
img33.ppm;996;428;1040;470;13
img34.ppm;906;469;961;519;30
img34.ppm;985;412;1062;489;4
img35.ppm;232;416;267;451;15
img36.ppm;1234;297;1279;342;2
img36.ppm;1234;343;1280;388;9
img36.ppm;303;365;346;409;2
img36.ppm;305;409;348;454;9
img37.ppm;398;359;441;412;14
img37.ppm;400;412;435;447;33
img38.ppm;943;415;971;444;40
img38.ppm;683;484;705;506;38
img38.ppm;935;383;972;417;13
img39.ppm;1151;290;1259;387;23
img39.ppm;917;410;950;443;12
img40.ppm;852;433;875;456;14
img40.ppm;1129;262;1224;349;13
img41.ppm;1004;398;1032;426;10
img42.ppm;375;407;411;443;5
img42.ppm;1273;381;1313;421;5
img43.ppm;937;406;970;439;10
img43.ppm;318;416;351;449;10
img44.ppm;855;477;890;512;4
img44.ppm;854;512;889;545;10
img45.ppm;202;532;281;611;38
img45.ppm;230;403;296;469;17
img46.ppm;689;530;713;554;4
img46.ppm;687;500;717;530;12
img47.ppm;389;527;417;555;4
img47.ppm;1093;529;1132;568;4
img47.ppm;1085;478;1134;527;12
img48.ppm;808;412;846;450;15
img49.ppm;323;504;355;536;4
img49.ppm;817;510;849;542;4
img50.ppm;864;484;921;534;24
